,layer,latency (ms),metadata latency (ms),schedule latency (ms),first transfer latency (ms),second transfer latency (ms),comp latency (ms),rank,wait latency (ms),other latency (ms)
0,0,75.35278091430663,1.3703168228268623,24.558412742614745,2.857731157541275,2.328333234786985,7.111558294296264,0,21.587334108352664,15.539094553887836
1,0,77.90121078491211,4.265164691209793,22.61488628387451,5.060387289524078,2.5438308387994746,27.33472957611084,1,1.364162826538088,14.718049278855332
2,0,76.25994262695312,3.1910911425948143,21.625897789001463,6.057215881347656,2.6437155783176416,27.836841583251953,2,0.8620508193969734,14.043129833042613
3,0,76.15344619750977,1.7654784083366395,25.300031471252442,2.1625568091869356,2.637248611450195,21.267353820800782,3,7.4315385818481445,15.589238494634621
4,0,76.81710052490234,3.558502386510372,22.325718307495116,5.281516808271408,2.636880323290825,27.284623908996583,4,1.4142684936523438,14.315590296685698
5,0,77.32910079956055,3.6654079854488373,22.454633712768555,5.093788683414459,2.651571395993232,28.30652141571045,5,0.3923709869384773,14.764806619286546
6,0,77.97002410888672,3.352883203327656,23.101542472839355,4.147247952222824,2.989830794930456,28.22627201080322,6,0.47262039184570526,15.679627282917494
7,0,77.93448867797852,3.655577516555786,22.397311782836915,5.082700788974762,2.7176960080862047,28.698892402648926,7,0.0,15.382310178875926
0,1,79.64764175415038,4.055552025139332,24.175119972229005,5.460076969861984,1.9061885833740249,6.307062339782715,0,22.82879066467285,14.914851199090464
1,1,79.41744461059571,3.25386244058609,24.301651573181154,5.319721648097039,1.9960314005613342,27.273759651184083,1,1.862093353271483,15.410324543714523
2,1,80.47308883666992,4.166553592681884,21.927849578857423,8.021731340885163,2.252185568213463,29.135853004455566,2,0.0,14.968915751576418
3,1,80.07034759521484,4.3275264501571655,23.965772819519042,5.745158338546753,2.152901935577395,20.352639770507814,3,8.783213233947752,14.743135046958912
4,1,80.31703186035156,4.33909759670496,22.40601921081543,7.626755321025849,2.1674751192331323,27.19739532470703,4,1.9384576797485344,14.641831608116632
5,1,79.60197143554687,3.4699263989925386,22.68285427093506,7.273494350910187,2.253385472297668,27.737552070617674,5,1.3983009338378913,14.78645793795586
6,1,79.62398757934571,2.9830144345760345,24.809318351745606,4.968240022659302,2.0707195013761543,29.036306953430177,6,0.0995460510253885,15.65684226453304
7,1,79.66760940551758,3.4361343502998354,23.323283386230468,6.235923194885254,2.1041147947311423,27.672249412536623,7,1.4636035919189432,15.43230067491531
0,2,76.72575912475585,2.548019164800644,24.119343948364257,3.886694449186325,2.783574867248536,6.174348831176758,0,22.278252410888673,14.935525453090662
1,2,77.07842636108398,2.405580797791481,22.78307514190674,5.673670285940171,2.883955445885656,27.690297508239745,1,0.7623037338256857,14.879543447494513
2,2,75.86826248168946,2.1469184130430223,22.416723251342773,5.99624000787735,2.9811652183532704,27.390092849731445,2,1.062508392333985,13.874614349007615
3,2,76.89134140014649,2.9054975867271424,22.512374496459962,5.905219197273254,3.0620034694671627,22.515180587768555,3,5.937420654296876,14.053645408153528
4,2,76.96291885375976,2.3504896000027657,23.103907203674318,5.266899228096008,3.101069331169127,27.780537796020507,4,0.6720634460449233,14.687952248752104
5,2,76.634521484375,1.7327103957533836,22.775558280944825,5.5656737178564075,3.098755449056623,28.121263885498045,5,0.33133735656738494,15.009222398698327
6,2,77.32643814086914,1.8782207772135735,23.424364852905274,4.725785565376282,2.971565130352972,27.964172744750975,6,0.48842849731445526,15.873900572955606
7,2,77.57957229614257,1.6697343602776527,24.289846420288086,3.5127199977636336,2.9470719933509826,28.45260124206543,7,0.0,16.707598282396788
0,3,82.6922996520996,4.623667177557945,24.717769622802734,6.959219044446945,2.449023962020874,6.620409536361694,0,21.719677019119263,15.60253328979016
1,3,83.21198120117188,3.3454079568386077,26.31389465332031,5.242182564735413,2.39869734942913,27.230355072021485,1,1.1097314834594734,17.57171212136747
2,3,84.11903915405273,5.727129596471786,21.80741767883301,10.483536040782928,2.797942316532132,28.03704967498779,2,0.3030368804931669,14.962926965951922
3,3,82.89679412841797,5.025382447242737,23.850882911682127,8.120323187112808,2.6842047214508042,22.942064094543458,3,5.398022460937501,14.875914305448532
4,3,82.2878204345703,4.5445118933916095,22.60643196105957,9.661052775382995,2.7183296561241135,27.689661026000977,4,0.6504255294799819,14.41740759313106
5,3,82.76602935791016,3.756032018363476,23.09036464691162,9.12985925078392,2.7555839657783507,28.34008655548096,5,0.0,15.694102920591831
6,3,82.53726806640626,3.1749120354652405,25.717862701416017,5.690793541073799,2.6129919558763497,27.57787208557129,6,0.7622144699096687,17.0006212770939
7,3,81.68110046386718,3.3769471392035486,24.9928316116333,6.520979115366936,2.6369247913360576,26.456256103515624,7,1.8838304519653342,15.813331250846375
0,4,80.64655532836915,3.628748853504658,25.58140468597412,4.555059292912484,2.0670233249664314,6.269484758377075,0,22.52769637107849,16.01713804155588
1,4,80.80035934448242,1.9887104034423828,27.378371047973634,2.476483210921288,2.0859903514385225,28.797181129455566,1,0.0,18.073623201251024
2,4,80.7719940185547,4.182630318403244,21.877046585083008,9.005340719223023,2.356277963519097,27.774054336547852,2,1.0231267929077141,14.553517302870759
3,4,81.23617324829101,4.398182368278503,24.74643211364746,5.649801576137543,2.3524860858917247,21.657187080383302,3,7.139994049072264,15.292089974880213
4,4,81.34010848999023,4.823347213864326,22.5266752243042,8.34981129169464,2.4407196909189217,27.40445442199707,4,1.3927267074584968,14.402373939752579
5,4,79.72331619262695,2.357760001718998,24.369318389892577,6.083369421958923,2.372799533605574,27.323836708068846,5,1.4733444213867202,15.742887715995316
6,4,81.40390319824219,3.4878464162349703,24.93394241333008,5.264822316169739,2.353801134228706,27.585311889648438,6,1.211869239807129,16.56630978882312
7,4,81.90730209350586,4.626329708099365,23.51395206451416,6.93310717344284,2.258012616634369,28.017292976379395,7,0.7798881530761719,15.778719401359552
0,5,73.68878021240235,2.4706048011779784,22.601376152038576,2.4260544180870056,1.047795581817624,6.292857646942139,0,24.709814167022706,14.140277445316322
1,5,73.77674102783203,1.177395188808441,22.802403450012207,2.331785556674004,1.0862025141716005,28.876381492614748,1,2.1262903213500977,15.37628250420093
2,5,73.34266815185546,2.1414912045001984,21.834435081481935,3.2927296638488768,1.190678715705869,26.635692977905272,2,4.366978836059573,13.880661672353732
3,5,73.78903045654297,2.129203197360039,23.255337524414063,1.715686422586441,1.2419681549072266,22.413011169433595,3,8.58966064453125,14.444163343310365
4,5,73.80643844604492,1.983897590637207,22.448335647583008,2.640835225582123,1.3353762984275788,27.552588844299315,4,3.45008296966553,14.395321869850164
5,5,73.15609664916992,1.6845823958516122,22.72961597442627,2.3485183477401734,1.2458339095115631,26.789561653137206,5,4.21311016082764,14.144874207675457
6,5,74.01707534790039,1.5677440211176872,22.72852191925049,2.187596786022186,1.2497375160455682,29.279839706420898,6,1.7228321075439474,15.280803291499609
7,5,74.6988540649414,1.6119808182120323,21.952486419677733,3.0170080184936525,1.3390847980976104,31.002671813964845,7,0.0,15.775622196495526
0,6,19.426508903503418,3.735552027821541,0.9046848058700562,0.4009247988462448,0.146374399960041,3.494323205947876,0,0.0,10.744649665057658
1,6,18.4331262588501,4.064153610169887,0.8402623951435089,0.22513920068740845,0.16515198051929447,2.1869152069091795,1,1.3074079990386966,9.644095866382123
2,6,19.207372760772706,5.732147240638733,0.7890336036682128,0.2872031956911087,0.23550080060958845,2.093065595626831,2,1.401257610321045,8.669164714217187
3,6,19.23225603103638,4.603494457900524,0.8716928005218506,0.20710719972848887,0.14480961561202976,2.211084806919098,3,1.2832383990287783,9.910828751325608
4,6,18.979020977020262,5.322547252476215,0.7774688005447388,0.25188800171017645,0.28140162229537946,2.10601601600647,4,1.3883071899414063,8.851392094045876
5,6,19.11551990509033,4.7722495794296265,0.8571488082408905,0.184876799583435,0.11619523018598543,2.1040640234947205,5,1.3902591824531556,9.690726281702517
6,6,18.0886531829834,2.8228608265519144,0.9124415934085846,0.14684479907155037,-0.1534720361232762,2.0854015827178953,6,1.4089216232299808,10.865654794126751
7,6,17.81299238204956,3.528601607680321,0.8618528008460998,0.23489919900894166,0.07458239197731009,2.191491198539734,7,1.302832007408142,9.618733176589013
0,7,18.24952325820923,3.3568767607212067,0.81282559633255,0.5832800008356571,0.13282560035586352,3.3007328271865846,0,0.0,10.06298247277737
1,7,18.262016105651856,3.4796544164419174,0.8085216045379638,0.2007456012070179,0.05443839877843848,1.9913504242897033,1,1.3093824028968812,10.417923257499934
2,7,18.523545455932616,5.321932834386826,0.6858367919921875,0.36842880472540857,0.31631355285644513,2.036739194393158,2,1.2639936327934267,8.530300644785164
3,7,18.380287837982177,3.223244805634022,0.8503583908081055,0.2971487961709499,-0.11653760895133014,2.018841600418091,3,1.2818912267684937,10.825340627133844
4,7,18.489036750793456,5.163724821805954,0.7252000033855438,0.13679040074348447,0.3774751663208007,1.919532799720764,4,1.3812000274658205,8.78511353135109
5,7,18.280140590667724,4.254412850737571,0.7445664048194885,0.17144000232219692,0.24360315278172484,1.9842591762542725,5,1.316473650932312,9.565385352820156
6,7,18.341990375518797,3.3881088197231293,0.8158687949180603,0.13374719768762583,0.07107198387384384,2.0120800018310545,6,1.28865282535553,10.632460752129553
7,7,18.28136968612671,2.996019162237644,0.8738112092018128,0.22344000488519664,-0.22324803024530415,2.0197216033935548,7,1.2810112237930298,11.110614512860774
0,8,16.68864002227783,2.0792320005595686,0.8145920038223267,0.48126720190048217,0.12802880108356474,3.1551199913024903,0,0.0,10.030400023609399
1,8,16.752332878112792,2.7747328355908394,0.7468799889087677,0.13297280222177502,0.22964154630899425,1.9838911652565003,1,1.17122882604599,9.712985713779926
2,8,16.920883178710938,3.984793651103973,0.8586111903190613,0.20964159891009332,0.1274656057357786,1.938646399974823,2,1.2164735913276674,8.58525114133954
3,8,16.655564880371095,2.3561215810477734,0.7854400157928467,0.14246399998664855,0.1586111962795258,2.0195135831832887,3,1.1356064081192017,10.05780809596181
4,8,16.32573413848877,3.1813631862401963,0.6654880046844482,0.208611199259758,0.35657600760459873,1.927500808238983,4,1.2276191830635073,8.758575749397277
5,8,16.642765045166016,2.862182381749153,0.7422303974628448,0.4001759894192219,-0.041055983304977506,1.9552032113075257,5,1.1999167799949646,9.524112268537284
6,8,16.72806396484375,2.6083328068256377,0.7595488011837006,0.12499839887022968,0.01868161261081691,1.948422408103943,6,1.2066975831985474,10.061382354050874
7,8,16.717311954498292,2.484326422214508,0.7757632017135621,0.1270848013460636,0.03683201223611832,1.9289951920509338,7,1.2261247992515565,10.13818552568555
0,9,16.05867519378662,2.6946560397744177,0.7036127924919129,0.4861631907522678,0.13216000124812127,3.2873408079147337,0,0.0,8.754742361605167
1,9,15.953100681304932,1.5910912185907364,0.7904384076595307,0.12879680097103116,-0.23618562221527073,1.9166207790374756,1,1.370720028877258,10.39161906838417
2,9,16.137318325042724,3.3138688132166862,0.6594752073287964,0.21630719676613808,0.07669121623039277,1.8904672145843506,2,1.396873593330383,8.583635083585976
3,9,15.939276790618896,2.2971392303705214,0.7453792035579682,0.130569601804018,-0.06968318074941626,1.9650368094444275,3,1.3223039984703062,9.54853112772107
4,9,15.589069080352782,2.547814390063286,0.6862688004970551,0.12664960026741023,0.060899186134338645,1.9048223853111268,4,1.382518422603607,8.880096295475958
5,9,15.93139190673828,2.3000064373016356,0.7211136043071746,0.14449600055813788,0.050867211818695024,2.0044224143028258,5,1.282918393611908,9.427567844837903
6,9,16.144486236572266,3.2104447945952415,0.6691488087177276,0.152751999348402,0.16606079339981106,2.0116543889045717,6,1.275686419010162,8.658739032596351
7,9,16.044338989257813,1.659903983771801,0.8070528149604798,0.2296511977910995,-0.34250563383102417,2.028713572025299,7,1.2586272358894348,10.402895818650723
0,10,15.522099208831786,2.1107712149620057,0.7250688016414643,0.41087679713964465,0.1330943994224071,3.2320960521698,0,0.0,8.910191943496464
1,10,15.311769676208495,0.35563520416617395,0.8629631996154785,0.14135359898209568,-0.3608416363596917,1.9701024174690247,1,1.2619936347007752,11.080563257634639
2,10,15.525785636901855,2.7397119849920273,0.7204415977001191,0.1194431990385055,0.03208959102630615,1.8491488099098206,2,1.3829472422599793,8.682003211975097
