,layer,latency (ms),metadata latency (ms),schedule latency (ms),first transfer latency (ms),second transfer latency (ms),comp latency (ms),rank,wait latency (ms),other latency (ms)
0,0,91.07865676879882,3.7648384094238283,22.739574432373047,5.858540821075439,3.805088901519772,35.415581130981444,0,4.292754364013675,15.202278709411615
1,0,91.20255813598632,1.9867647558450698,23.88587532043457,4.928390336036682,3.99303755760193,38.97658271789551,1,0.731752777099608,16.700154671072937
2,0,92.2980354309082,3.9077888250350954,21.957388877868652,6.92453441619873,4.725190806388852,39.22257270812988,2,0.4857627868652372,15.074797010421747
3,0,91.47238464355469,3.240448009967804,23.35824966430664,4.997516679763794,4.117542576789852,39.51646690368652,3,0.191868591308598,16.050292217731467
4,0,91.87932205200195,4.16768000125885,22.769439888000488,5.1027487993240355,4.363324856758119,39.09402198791504,4,0.6143135070800767,15.767793011665333
5,0,90.61427154541016,2.335232013463974,22.695027160644532,6.017679953575135,4.505302381515503,39.70833549499512,5,0.0,15.352694541215897
6,0,91.43941116333008,3.896422490477562,22.989535903930665,5.170841670036316,3.497190904617308,38.6225471496582,6,1.0857883453369155,16.17708469927311
7,0,91.45231323242187,0.5734399929642677,24.50635185241699,4.8595679759979244,4.6866533994674695,39.508662414550784,7,0.19967308044433452,17.117964516580102
0,1,99.36148452758789,5.131878447532654,22.90619487762451,5.710092806816101,7.954860663414001,42.27586898803711,0,0.0,15.382588744163513
1,1,96.71137390136718,1.6703487940132618,24.257043266296385,4.5751327753067015,7.640707373619076,39.014397048950194,1,3.261471939086917,16.292272704094643
2,1,96.8859649658203,3.0132224187254906,21.86774101257324,6.69552321434021,8.08059179782867,39.93856315612793,2,2.337305831909184,14.953017534315563
3,1,98.73131484985352,4.333158373832703,23.242889595031738,5.174627256393433,7.826012897491456,39.588761520385745,3,2.6871074676513658,15.878757739067069
4,1,98.46292419433594,4.731904006004333,22.425865745544435,5.554300761222839,8.210959792137144,39.46591377258301,4,2.809955215454103,15.264024901390073
5,1,96.45076446533203,2.0284415543079377,22.590076637268066,5.664572834968567,8.531711196899412,40.08746528625488,5,2.188403701782228,15.360093253850934
6,1,99.50494766235352,4.905164837837219,22.66785297393799,5.445641541481018,8.169632124900813,38.96107559204101,6,3.314793395996098,16.040787196159357
7,1,97.25798568725585,1.3519871935248375,24.11980495452881,4.90275194644928,7.84694378376007,39.81559371948242,7,2.460275268554689,16.76062882095576
0,2,90.80954971313477,3.5306496575474737,22.75308151245117,5.855884861946106,3.628623628616327,35.58563117980957,0,4.10373153686524,15.351947335898885
1,2,102.75522537231446,14.329754248261452,24.133907127380372,4.6360191822052,3.4166215658187813,38.89740829467773,1,0.791954421997076,16.54956053197384
2,2,103.55763168334961,16.67635269165039,21.999401473999022,6.4050336360931395,3.8955943584442085,39.00905303955078,2,0.6803096771240291,14.891886806488046
3,2,105.07591552734375,16.796057653427123,23.302822494506835,5.463750314712525,3.8829253911971993,39.1235969543457,3,0.5657657623291072,15.94099695682526
4,2,104.74833984375,17.45377290248871,22.553497314453125,5.617017602920532,4.100944066047667,39.33008918762207,4,0.3592735290527358,15.333745241165175
5,2,102.40624618530273,14.778981709480286,22.63165168762207,5.824019169807434,4.060502362251282,39.68936271667481,5,0.0,15.421728539466855
6,2,104.431103515625,16.288666319847106,23.41194896697998,4.940723156929016,3.770486903190611,39.16850242614746,6,0.5208602905273452,16.329915452003476
7,2,104.20664291381836,14.56547812372446,24.31491165161133,4.626044726371765,3.8782019376754704,39.66359024047851,7,0.025772476196294747,17.13264375776052
0,3,89.46933822631836,3.23194876909256,22.907350540161133,4.692793619632721,3.6579580783843992,35.525522994995114,0,4.332454681396484,15.12130954265595
1,3,88.47728652954102,0.41123839318752287,24.107055854797363,4.005427145957947,3.622876644134526,38.951318359375,1,0.9066593170165973,16.472710815072062
2,3,89.37472076416016,3.25693439245224,21.893977546691893,5.49071352481842,4.047590589523319,39.10272026062012,2,0.7552574157714815,14.827527034282681
3,3,89.84494094848633,2.3875584065914155,23.300351905822755,4.580854392051696,3.8431904315948486,39.8579776763916,3,0.0,15.875008136034012
4,3,90.02997817993165,3.5843072056770326,22.341308975219725,5.453910446166992,3.757612514495852,39.12314224243164,4,0.7348354339599581,15.034861361980447
5,3,88.35297317504883,0.9180160090327263,22.854319763183593,4.897449636459351,4.044095754623413,39.809580612182614,5,0.048397064208984375,15.781114335358154
6,3,89.96321258544921,2.791116809844971,22.87050552368164,4.581206440925598,3.978575730323792,39.01258544921875,6,0.8453922271728516,15.88383040428161
7,3,89.12435150146484,0.9023487910628318,23.455564880371092,4.21384961605072,4.167954897880558,39.596950149536134,7,0.2610275268554645,16.526655639708025
0,4,90.44807586669921,3.6669440269470215,22.696377563476563,4.996038389205933,4.136057686805726,36.50861778259277,0,3.1448959350585923,15.299144482612604
1,4,87.9752182006836,0.6457344129681587,24.08850231170654,4.0186527967453,3.126729416847232,38.847267150878906,1,0.8062465667724581,16.442085544765007
2,4,90.5042953491211,3.7253120064735414,21.900191879272462,6.011411237716675,4.477792215347295,39.32795867919922,2,0.3255550384521442,14.736074292659765
3,4,90.56471099853516,2.8286975979804994,23.37040309906006,4.767849588394165,3.977920079231262,39.64877777099609,3,0.0047359466552734375,15.96632691621781
4,4,90.7154426574707,4.033945596218109,22.401385879516603,5.778038382530212,3.835392093658453,39.25698585510254,4,0.39652786254882244,15.013166987895957
5,4,88.4679672241211,1.228492806106806,22.662265586853028,5.038969564437866,4.519478392601013,39.653513717651364,5,0.0,15.365247156471014
6,4,89.9394546508789,2.8032000064849854,22.537564849853517,4.998774361610413,3.9847644567489624,39.30814056396484,6,0.34537315368652344,15.961637258529663
7,4,89.35035018920898,1.2625919952988625,23.658224296569824,4.147651243209839,3.960319852828979,39.302799987792966,7,0.35071372985839844,16.668049083650118
0,5,89.52156219482421,3.1645695567131042,22.715632247924805,4.82325119972229,3.7941925525665283,34.98309097290039,0,4.911685943603516,15.129139721393571
1,5,88.54415359497071,1.2274688065052033,24.01358413696289,3.8000736236572266,3.2061601638793906,38.84234504699707,1,1.0524318695068402,16.402089947462088
2,5,88.87582778930664,2.305638387799263,21.819558715820314,5.985356855392456,4.0086689233779875,39.57395782470703,2,0.32081909179687784,14.86182799041272
3,5,89.53128967285156,1.935155177116394,23.318233680725097,4.2790367603302,4.116666841506955,39.439094924926756,3,0.4556819915771513,15.987420296669
4,5,90.02915878295899,3.159552013874054,22.43270378112793,5.310121536254883,3.9101954936981214,39.48585243225098,4,0.40892448425292827,15.321809041500089
5,5,87.56367416381836,0.2976767979562282,22.77059841156006,4.540742373466491,4.352947235107422,39.89477691650391,5,0.0,15.706932429224253
6,5,89.58730239868164,2.4980479955673216,22.844854164123536,4.242422366142273,4.091632127761843,38.71426506042481,6,1.1805118560791001,16.015568828582772
7,5,89.83511047363281,1.5077375993132591,23.406809425354005,4.318083167076111,4.2538632154464695,39.49029769897461,7,0.4044792175292997,16.453840149939055
0,6,14.031257724761963,2.4882176160812377,0.7107167959213256,0.34298560172319414,0.11825599968433378,1.5106752276420594,0,0.0,8.860406483709811
1,6,13.166387176513672,1.4330880232155323,0.7317791998386383,0.20248959884047504,-0.03848322033882168,0.22531200051307673,1,1.2853632271289828,9.326838347315789
2,6,12.989951992034912,1.9794943749904632,0.6826496005058289,0.271494398266077,-0.030838440358638808,0.2328928038477897,2,1.2777824237942697,8.576476830989122
3,6,12.917964839935303,1.2369920015335083,0.7354304015636444,0.22615680322051043,-0.038070420175790876,0.3239360056817532,3,1.1867392219603063,9.24678082615137
4,6,13.243084812164307,2.0716543793678284,0.6780543863773346,0.3039040073752403,0.04217598810791956,0.3318048037588596,4,1.1788704238831997,8.636620823293924
5,6,13.000089550018311,1.6603135913610458,0.7294879972934722,0.2739775933325291,-0.007638423144817441,0.3068352058529854,5,1.2038400217890741,8.833273563534021
