,layer,latency (ms),metadata latency (ms),schedule latency (ms),first transfer latency (ms),second transfer latency (ms),comp latency (ms),rank,wait latency (ms),other latency (ms)
0,0,450.02130235944475,0.5131702731762614,0.22703314359698976,20.91234486443656,14.23007539340428,404.2821524483817,0,0.0,9.856526236448985
1,0,454.19724709647045,4.929755398205349,0.15994971458400994,20.311261551720754,13.936915261404863,12.128610338483538,1,392.1535421098981,10.577212722173783
2,0,452.96581486293246,3.5396023052079335,0.1551199981144496,15.07175087928772,19.044874804360575,12.411723341260638,2,391.870429107121,10.872314427580136
3,0,451.98753356933594,3.0880183492388045,0.15662171372345512,20.38512202671596,13.746683120727539,12.522354398454938,3,391.75979804992676,10.328935910548466
4,0,453.5195770263672,4.688164566244398,0.15274057218006676,20.399314437593734,13.638423579079756,12.21255077634539,4,392.0696016720363,10.358781422887546
5,0,453.18868037632535,3.009462879172393,0.1590331420302391,20.415751116616384,13.865922246660546,12.108745166233607,5,392.17340728214805,11.456358543464148
6,1,453.51306588309154,0.21891656996948378,0.22570971346327234,21.055307149887085,14.311124563217163,408.3279288155692,0,0.0,9.374079070985317
7,1,458.43500082833424,5.4556525605065485,0.15844342538288658,20.181248119899205,15.46794319152832,12.320573806762695,1,396.0073550088065,8.843784715448066
8,1,456.92598942347934,3.6951039688927785,0.17137600162199565,14.970422778810773,20.60296876089916,12.314397811889648,2,396.01353100367953,9.158189097685465
9,1,454.7317777361189,2.1473280084984645,0.17353371530771253,20.2434401512146,15.094114712306407,12.606214932032994,3,395.7217138835362,8.745432333222482
10,1,457.70679146902904,5.089206797736032,0.15381714275905062,20.260788406644547,15.059751646859354,13.21610518864223,4,395.11182362692693,8.815298659460893
11,1,457.4630791800363,4.205933732645852,0.1537988558411598,20.313378606523788,15.375780923025957,12.0731566292899,5,396.2547721862793,9.086258246430361
12,2,450.27957044328963,0.1624502853623458,0.2506971444402422,21.24912449291774,14.244141714913505,404.9442814418248,0,0.0,9.428875363830969
13,2,455.882821219308,6.09002057995115,0.15447085776499336,20.40622169630868,15.44663681302751,12.174127919333321,1,392.77015352249146,8.841189830430892
14,2,454.1277618408203,4.226779443877084,0.15633600205183026,15.099151917866298,20.667885235377696,12.362141609191895,2,392.5821398326329,9.033327799822587
15,2,452.14324842180525,2.7248639868838445,0.15613943125520433,20.40141020502363,15.211486884525812,12.478946208953857,3,392.4653352328709,8.705066472292003
16,2,454.98097120012557,5.549494845526559,0.157794286097799,20.50819216455732,14.967482226235518,12.286720071520124,4,392.6575613703047,8.853726235883585
