,layer,latency (ms),metadata latency (ms),schedule latency (ms),first transfer latency (ms),second transfer latency (ms),comp latency (ms),rank,wait latency (ms),other latency (ms)
0,0,107.36240615844727,5.698355174064636,21.811504554748534,11.392480087280273,3.0303777694702205,34.96102104187012,0,15.497571182250972,14.97109634876253
1,0,107.90768661499024,4.514611220359802,22.226172637939452,10.587724876403808,4.207020616531372,47.39550094604492,1,3.063091278076172,15.913565039634719
2,0,108.53406677246093,5.035724830627442,22.835586929321288,10.07218542098999,4.775133061409001,48.20624694824219,2,2.252345275878902,15.356844305992126
3,0,108.04961242675782,4.99353609085083,22.70612163543701,10.2478590965271,4.479765629768376,48.592162704467775,3,1.866429519653316,15.1637377500534
4,0,105.1821060180664,0.18042879849672314,29.50506248474121,2.4410016179084777,3.261961412429814,49.172265625,4,1.2863265991210895,19.335059480369097
5,0,107.34796676635742,4.037427186965942,22.097913360595705,11.147548866271972,4.379635167121887,50.45859222412109,5,0.0,15.22684996128082
6,0,108.3779067993164,5.189939212799072,23.388771057128906,9.312668800354004,3.7384065628051815,49.01371879577637,6,1.4448734283447209,16.28952894210815
7,0,109.10300140380859,5.132185578346252,22.204009437561034,11.015007877349854,5.009634542465214,49.387023544311525,7,1.071568679809566,15.28357174396514
0,1,106.37782974243164,4.072448003292084,21.980239868164062,11.10018892288208,4.066172218322755,34.90904312133789,0,15.189533233642578,15.060204374790189
1,1,105.20289306640625,1.725132803618908,22.126294708251955,10.29181432723999,5.4330748796463055,46.86310729980469,1,3.235469055175777,15.527999992668626
2,1,106.5704444885254,2.364211232960224,22.806425476074217,9.870864009857177,6.012774229049687,49.684976196289064,2,0.413600158691402,15.417593185603636
3,1,106.72158660888672,3.133747172355652,22.609782218933105,10.142300796508788,5.480431580543524,48.50559349060059,3,1.5929828643798771,15.256748485565183
4,1,106.76408309936524,0.904704013466835,29.472719764709474,2.42534716129303,4.732019114494326,48.68743705749512,4,1.4111392974853487,19.13071669042111
5,1,105.21323471069336,0.7914495907723904,21.95735683441162,11.047638416290283,6.132281208038336,49.91690559387207,5,0.18167076110839275,15.185932306200257
6,1,107.43019485473633,3.0662656307220457,23.712428855895997,8.878668737411498,5.365682792663574,49.847571182250974,6,0.2510051727294922,16.308572483062747
7,1,105.79650650024413,1.8213887855410575,22.07680950164795,10.77742395401001,5.732915163040161,50.098576354980466,7,0.0,15.289392741024486
0,2,105.87944946289062,4.45818874835968,21.828802871704102,11.07333745956421,3.106285953521727,35.06677169799805,0,15.487403869628906,14.858658862113941
1,2,104.9678855895996,2.366259199380875,22.168220901489256,10.170048046112061,4.36729962825775,46.99512634277344,1,3.559049224853517,15.341882246732695
2,2,105.05390014648438,2.19258878082037,22.921846389770508,9.832463932037353,4.089750623703,48.93056297302246,2,1.623612594604495,15.46307485252619
3,2,106.51873321533203,3.1672319412231444,22.761539268493653,9.960172748565673,4.72616703510284,48.187981033325194,3,2.366194534301762,15.349446654319749
4,2,106.36912689208984,0.9571328058838844,29.398259544372557,2.4350048065185548,3.7055110216140745,50.487504196166995,4,0.06667137145996094,19.31904314607381
5,2,103.94767456054687,0.5615616023540497,21.972896003723143,10.968329429626465,4.705564820766449,50.554175567626956,5,0.0,15.1851471364498
6,2,105.78636779785157,2.1426175966858865,23.60428810119629,8.85250883102417,4.202748584747312,48.801231384277344,6,1.7529441833496122,16.43002911657095
7,2,105.17319793701172,2.6182655811309816,22.012342643737792,10.338243103027343,4.455526995658869,47.99487380981445,7,2.5593017578125057,15.194644045829776
0,3,107.61646041870117,4.552191984653473,21.987046432495116,11.522153568267822,4.332854843139653,34.99940452575684,0,15.24059791564941,14.982211148738855
1,3,107.0289924621582,2.4344575345516204,22.137417602539063,10.663110446929931,5.987182021141054,46.30141487121582,1,3.9385875701904283,15.566822415590295
2,3,107.86631698608399,3.1029247760772707,22.906112098693846,10.067119979858399,6.171610236167908,50.12257270812988,2,0.11742973327636719,15.378547453880316
3,3,107.81511688232422,3.3060864210128784,22.68355197906494,10.580518531799317,5.8834819793701225,49.52125091552735,3,0.7187515258789006,15.121475529670718
4,3,107.53187942504883,0.5157887965440751,29.55153923034668,2.6111680269241333,5.205440926551825,50.04240341186524,4,0.19759902954100994,19.40794000327587
5,3,105.03649291992187,1.0452992103993892,21.916483306884764,11.657568073272705,5.1174623489379885,50.24000244140625,5,0.0,15.059677539020768
6,3,107.66684188842774,2.7544575929641724,23.34423656463623,9.637343978881836,5.467252349853517,49.93352355957031,6,0.3064788818359361,16.22354896068572
7,3,107.62444763183593,3.2575487732887267,21.972140884399415,10.794854259490966,6.1886982440948515,49.218265533447266,7,1.0217369079589815,15.171203029155734
0,4,105.42151794433593,4.042649579048157,21.93971538543701,11.684313583374024,3.174316406249993,34.888499069213864,0,14.775686645507818,14.916337275505072
1,4,104.14489440917968,1.4099455982446671,22.152352142333985,10.75888957977295,4.617139172554016,47.66109771728516,1,2.0030879974365234,15.542382201552385
2,4,105.84565658569336,2.7365375995635985,22.720297622680665,10.864012813568115,4.821270608901976,48.217088317871095,2,1.4470973968505874,15.039352226257321
