,gpu_util
83,"[1, 0, 6, 7, 0, 0, 0, 0]"
84,"[81, 93, 85, 80, 0, 93, 93, 0]"
85,"[84, 73, 93, 92, 49, 75, 73, 70]"
86,"[75, 73, 89, 83, 70, 71, 73, 73]"
87,"[69, 100, 71, 72, 94, 95, 100, 91]"
88,"[4, 49, 7, 8, 31, 45, 48, 49]"
89,"[86, 93, 93, 92, 100, 74, 93, 77]"
90,"[71, 79, 70, 72, 70, 79, 98, 78]"
91,"[75, 97, 70, 71, 70, 87, 73, 83]"
92,"[51, 74, 55, 50, 71, 63, 75, 63]"
93,"[0, 0, 0, 0, 0, 0, 0, 0]"
94,"[94, 78, 100, 100, 93, 90, 100, 92]"
95,"[82, 70, 100, 94, 100, 77, 100, 82]"
96,"[100, 100, 100, 100, 100, 100, 100, 100]"
97,"[64, 57, 59, 75, 63, 57, 68, 63]"
98,"[0, 0, 0, 0, 0, 0, 0, 0]"
99,"[87, 89, 88, 92, 88, 88, 90, 88]"
100,"[89, 89, 99, 100, 91, 93, 94, 94]"
101,"[89, 90, 89, 90, 96, 90, 95, 90]"
102,"[72, 64, 45, 72, 53, 73, 59, 73]"
103,"[0, 14, 0, 0, 0, 0, 0, 0]"
104,"[70, 78, 61, 73, 70, 70, 73, 73]"
105,"[76, 91, 61, 73, 63, 78, 74, 77]"
106,"[92, 83, 100, 100, 100, 93, 100, 93]"
107,"[53, 61, 53, 57, 70, 55, 73, 53]"
108,"[45, 94, 0, 55, 12, 83, 72, 52]"
109,"[89, 92, 84, 90, 90, 90, 91, 87]"
110,"[90, 91, 96, 88, 98, 90, 97, 90]"
111,"[93, 98, 86, 89, 90, 93, 90, 83]"
112,"[0, 0, 0, 0, 0, 0, 0, 0]"
113,"[82, 78, 61, 79, 71, 84, 79, 79]"
114,"[92, 100, 81, 98, 87, 93, 88, 98]"
115,"[99, 99, 76, 90, 78, 98, 79, 98]"
116,"[64, 74, 47, 57, 64, 61, 69, 56]"
117,"[0, 0, 0, 0, 0, 0, 0, 0]"
118,"[91, 90, 84, 88, 87, 94, 89, 87]"
